Keyword Stats 2026-04-30 at 13_43_39,,,,,,,,,,,,,,,,,,,,,,,,,
"April 1, 2025 - March 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
bissell pet pro spot cleaner,USD,50,0%,0%,High,100,0.38,1.66,,,,,,,,,,,,,,,,,
scotchgard rug & carpet protector,USD,5000,0%,0%,High,78,0.26,0.68,,,,,,,,,,,,,,,,,
vlm carpet cleaning,USD,500,0%,0%,High,92,1.31,6.45,,,,,,,,,,,,,,,,,
all pro carpet cleaning,USD,500,0%,0%,Medium,48,3.23,9.89,,,,,,,,,,,,,,,,,
bissell spotclean pro portable carpet cleaner,USD,5000,0%,0%,High,100,0.33,1.3,,,,,,,,,,,,,,,,,
quality carpet care,USD,500,0%,0%,Medium,41,3.91,12.46,,,,,,,,,,,,,,,,,
pet friendly carpet cleaner,USD,500,0%,0%,High,87,0.56,5.42,,,,,,,,,,,,,,,,,
carpet cleaning cost per room,USD,500,0%,0%,Medium,50,1.7,9.81,,,,,,,,,,,,,,,,,
doodlebug pad,USD,500,0%,0%,High,100,0.46,13.54,,,,,,,,,,,,,,,,,
rug doctor cleaner,USD,500,0%,0%,High,100,0.33,3.54,,,,,,,,,,,,,,,,,
floor carpet cleaner,USD,500,0%,0%,High,100,0.62,7.54,,,,,,,,,,,,,,,,,
carpet cleaner stain remover,USD,500,0%,0%,High,99,0.39,5.76,,,,,,,,,,,,,,,,,
home depot rug doctor,USD,500,0%,0%,Medium,62,0.35,0.45,,,,,,,,,,,,,,,,,
best carpet cleaner for area rugs,USD,500,0%,0%,High,100,0.47,3.46,,,,,,,,,,,,,,,,,
a 1 carpet cleaning,USD,5000,0%,0%,Low,25,2.3,10,,,,,,,,,,,,,,,,,
stains out of carpet,USD,500,0%,0%,Medium,66,0.38,4.65,,,,,,,,,,,,,,,,,
carpet odor remover,USD,5000,0%,0%,High,80,0.71,3.49,,,,,,,,,,,,,,,,,
karcher carpet extractor,USD,500,0%,0%,High,100,0.63,6,,,,,,,,,,,,,,,,,
carpet stains,USD,5000,0%,0%,Medium,47,0.57,4.65,,,,,,,,,,,,,,,,,
turboclean dualpro pet,USD,500,-90%,-90%,High,100,0.23,2.51,,,,,,,,,,,,,,,,,
carpet cleaner spot cleaner,USD,5000,0%,0%,High,100,0.41,3,,,,,,,,,,,,,,,,,
extraction cleaner,USD,500,0%,0%,High,100,0.38,3.33,,,,,,,,,,,,,,,,,
pet spot carpet cleaner,USD,500,0%,900%,High,100,0.45,1.22,,,,,,,,,,,,,,,,,
removing stains from carpet,USD,50000,0%,0%,High,94,0.31,4.65,,,,,,,,,,,,,,,,,
spotcleaner,USD,50,0%,0%,High,97,,,,,,,,,,,,,,,,,,,
clean vomit from carpet,USD,5000,0%,0%,High,75,0.33,5,,,,,,,,,,,,,,,,,
whittaker carpet cleaner,USD,500,0%,0%,High,100,0.53,6.69,,,,,,,,,,,,,,,,,
bissell pawsitively clean,USD,500,0%,0%,High,100,0.32,4.23,,,,,,,,,,,,,,,,,
bissell carpet cleaner proheat,USD,5000,0%,0%,High,100,0.2,1.58,,,,,,,,,,,,,,,,,
hand held carpet steam cleaner,USD,50,0%,0%,High,100,0.48,1.78,,,,,,,,,,,,,,,,,
aqua pro extractor,USD,50,0%,0%,High,100,0.49,2.49,,,,,,,,,,,,,,,,,
karcher professional carpet cleaner,USD,500,0%,0%,High,100,0.51,6,,,,,,,,,,,,,,,,,
scotchgard for carpet,USD,5000,0%,0%,High,100,0.21,0.66,,,,,,,,,,,,,,,,,
bissell compact carpet cleaner,USD,50,0%,-90%,High,99,0.43,6,,,,,,,,,,,,,,,,,
center clean carpet,USD,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
turboclean powerbrush pet upright carpet cleaner,USD,50,∞,0%,Low,25,,,,,,,,,,,,,,,,,,,
boat carpet cleaner,USD,500,0%,0%,High,96,0.19,0.54,,,,,,,,,,,,,,,,,
bissell powerforce carpet cleaner,USD,500,0%,0%,High,100,0.26,1.12,,,,,,,,,,,,,,,,,
sam's club carpet cleaner,USD,500,0%,0%,High,100,0.22,2.09,,,,,,,,,,,,,,,,,
bissell deepclean premier pet,USD,500,0%,0%,High,98,0.51,3.15,,,,,,,,,,,,,,,,,
bissell spotclean proheat 2694,USD,50,0%,0%,High,100,0.4,1.38,,,,,,,,,,,,,,,,,
capture rug cleaner,USD,500,0%,0%,High,100,0.2,0.87,,,,,,,,,,,,,,,,,
pet stains out of carpet,USD,50,0%,-90%,High,91,0.55,4.65,,,,,,,,,,,,,,,,,
turboclean powerbrush pet carpet cleaner,USD,50,0%,-90%,High,100,0.26,1.44,,,,,,,,,,,,,,,,,
tennant e5,USD,500,0%,0%,High,100,1.31,14.21,,,,,,,,,,,,,,,,,
spot extractor,USD,50,0%,0%,High,100,0.43,3.62,,,,,,,,,,,,,,,,,
cleanslate pet carpet & upholstery spot cleaner,USD,50,0%,0%,High,100,0.38,2.62,,,,,,,,,,,,,,,,,
best carpet odor eliminator,USD,500,0%,0%,High,100,0.23,1.3,,,,,,,,,,,,,,,,,
white carpet cleaner,USD,500,0%,0%,High,92,0.46,4.8,,,,,,,,,,,,,,,,,
one way carpet cleaning,USD,500,0%,0%,Medium,47,4.75,17.75,,,,,,,,,,,,,,,,,
carpet pre treatment,USD,500,0%,0%,High,100,0.41,4.65,,,,,,,,,,,,,,,,,
getting stains out of carpet,USD,500,0%,0%,Medium,66,0.4,4.65,,,,,,,,,,,,,,,,,
kc carpet cleaning,USD,500,0%,0%,Low,33,2.32,8.56,,,,,,,,,,,,,,,,,
rug doctor steam cleaner,USD,500,0%,0%,High,100,0.42,3.88,,,,,,,,,,,,,,,,,
don's carpet cleaning,USD,500,0%,0%,Low,15,2.2,7.71,,,,,,,,,,,,,,,,,
urine out of carpet,USD,500,0%,0%,High,100,0.69,3.75,,,,,,,,,,,,,,,,,
small carpet steam cleaner,USD,500,0%,0%,High,100,0.34,1.53,,,,,,,,,,,,,,,,,
bissell carpet cleaner amazon,USD,500,0%,0%,High,100,0.53,2.03,,,,,,,,,,,,,,,,,
mytee carpet cleaner,USD,500,0%,0%,High,100,0.63,5.18,,,,,,,,,,,,,,,,,
getting coffee stains out of carpet,USD,500,0%,0%,Medium,41,0.03,3,,,,,,,,,,,,,,,,,
green steam cleaner,USD,500,0%,0%,High,100,0.5,6,,,,,,,,,,,,,,,,,
bissell proheat 2,USD,500,0%,0%,High,100,0.24,1.27,,,,,,,,,,,,,,,,,
spotclean proheat pet,USD,500,0%,0%,High,100,0.31,1.35,,,,,,,,,,,,,,,,,
rug doctor flexclean,USD,500,0%,0%,High,100,0.42,1.39,,,,,,,,,,,,,,,,,
petsmart carpet cleaner,USD,500,0%,0%,High,100,0.45,4.66,,,,,,,,,,,,,,,,,
bissell pet stain,USD,500,0%,0%,High,100,0.33,1.86,,,,,,,,,,,,,,,,,
karcher carpet cleaner and detailer,USD,50,0%,0%,High,100,1.12,4.59,,,,,,,,,,,,,,,,,
folex carpet stain remover,USD,5000,0%,900%,High,71,0.12,0.12,,,,,,,,,,,,,,,,,
coffee out of carpet,USD,5000,0%,0%,Medium,52,0.03,2.86,,,,,,,,,,,,,,,,,
bissell spotclean professional carpet and upholstery cleaner,USD,50,0%,0%,High,100,,,,,,,,,,,,,,,,,,,
oxiclean large area carpet cleaner,USD,500,0%,0%,High,96,0.46,4.45,,,,,,,,,,,,,,,,,
bissell spot lifter,USD,500,0%,-90%,High,100,0.32,1.73,,,,,,,,,,,,,,,,,
bissell boost,USD,500,0%,900%,High,80,0.27,2.08,,,,,,,,,,,,,,,,,
hart carpet cleaner,USD,500,0%,0%,High,91,0.28,10.08,,,,,,,,,,,,,,,,,
karcher spot cleaner,USD,50,0%,0%,High,99,0.32,1.6,,,,,,,,,,,,,,,,,
kent carpet cleaner,USD,500,0%,0%,High,67,3.13,17.55,,,,,,,,,,,,,,,,,
best carpet cleaner for coffee stains,USD,50,0%,-90%,High,100,0.13,4.38,,,,,,,,,,,,,,,,,
folex spot remover,USD,5000,0%,0%,High,86,0.12,0.17,,,,,,,,,,,,,,,,,
ebay carpet cleaner,USD,500,0%,0%,High,100,0.18,1.51,,,,,,,,,,,,,,,,,
no vac carpet cleaner,USD,50,0%,0%,High,95,0.24,1.33,,,,,,,,,,,,,,,,,
spot on carpet cleaning,USD,500,0%,0%,High,70,2.93,13.19,,,,,,,,,,,,,,,,,
bissell turboclean pet,USD,500,0%,0%,High,100,0.33,1.53,,,,,,,,,,,,,,,,,
publix carpet cleaner,USD,500,0%,0%,High,97,0.5,2.18,,,,,,,,,,,,,,,,,
smartstrand,USD,500,0%,0%,Medium,57,0.6,5.07,,,,,,,,,,,,,,,,,
best way to clean carpet stains,USD,500,0%,0%,High,76,0.21,3.54,,,,,,,,,,,,,,,,,
foaming carpet cleaner,USD,5000,0%,0%,High,100,0.25,3.96,,,,,,,,,,,,,,,,,
hoover steam vac spin scrub,USD,500,0%,0%,High,94,0.28,0.72,,,,,,,,,,,,,,,,,
cleaning a rug at home,USD,500,0%,0%,High,94,0.49,4.65,,,,,,,,,,,,,,,,,
hoover cleanslate pet carpet cleaner,USD,50,0%,0%,Medium,52,,,,,,,,,,,,,,,,,,,
terry's carpet cleaning,USD,500,0%,0%,Low,18,2.31,9.36,,,,,,,,,,,,,,,,,
carpet stain protector,USD,500,0%,0%,High,98,0.2,0.71,,,,,,,,,,,,,,,,,
bissell spotclean portable deep cleaner,USD,50,0%,0%,Medium,34,,,,,,,,,,,,,,,,,,,
scotchgard stain protector,USD,500,0%,0%,High,100,0.2,0.67,,,,,,,,,,,,,,,,,
bissell spotclean pro amazon,USD,50,0%,0%,High,86,,,,,,,,,,,,,,,,,,,
smelly carpet,USD,500,0%,0%,High,93,0.48,3.75,,,,,,,,,,,,,,,,,
zep pet stain and odor remover,USD,500,0%,0%,High,100,0.25,1.06,,,,,,,,,,,,,,,,,
cvs carpet cleaner,USD,500,0%,0%,High,99,0.14,1.54,,,,,,,,,,,,,,,,,
cleaning urine out of carpet,USD,500,0%,0%,High,73,0.31,4.65,,,,,,,,,,,,,,,,,
rug doctor hard floor cleaner,USD,50,0%,0%,High,97,0.51,8,,,,,,,,,,,,,,,,,
household carpet cleaner,USD,500,0%,0%,High,96,1.2,10.3,,,,,,,,,,,,,,,,,
scotchgard rug and carpet protector,USD,5000,0%,0%,High,78,0.26,0.68,,,,,,,,,,,,,,,,,
bissell powerforce pet carpet cleaner,USD,500,0%,0%,High,100,0.32,1.32,,,,,,,,,,,,,,,,,
rug doctor pet cleaner,USD,50,0%,0%,High,100,0.44,2.86,,,,,,,,,,,,,,,,,
pet stain cleaner,USD,5000,-90%,0%,High,97,0.7,4.65,,,,,,,,,,,,,,,,,
hoover spotless pet,USD,50,0%,0%,Medium,59,,,,,,,,,,,,,,,,,,,
the rug doctor carpet cleaner,USD,50,0%,0%,High,100,0.44,3.97,,,,,,,,,,,,,,,,,
best carpet cleaner for vomit,USD,500,0%,0%,High,100,0.2,3.41,,,,,,,,,,,,,,,,,
bissell spotclean carpet and upholstery cleaner,USD,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
carpet dust cleaner,USD,500,0%,0%,High,97,0.48,6.06,,,,,,,,,,,,,,,,,
get coffee out of carpet,USD,500,0%,0%,Medium,41,0.03,3,,,,,,,,,,,,,,,,,
top carpet,USD,50,-90%,0%,Medium,58,2.95,19.86,,,,,,,,,,,,,,,,,
karcher carpet steam cleaner,USD,50,0%,0%,High,100,0.34,1.53,,,,,,,,,,,,,,,,,
bissell advanced carpet cleaner,USD,500,900%,0%,High,100,0.29,3.4,,,,,,,,,,,,,,,,,
best way to clean a carpet by hand,USD,50,0%,-90%,Medium,66,0.03,1.95,,,,,,,,,,,,,,,,,
bissell dirtlifter powerbrush,USD,500,0%,0%,High,93,0.39,1.57,,,,,,,,,,,,,,,,,
rug doctor cost,USD,500,0%,0%,High,95,0.21,0.74,,,,,,,,,,,,,,,,,
rug doctor stain remover,USD,50,0%,0%,High,93,0.24,2.59,,,,,,,,,,,,,,,,,
rug doctor price,USD,500,0%,0%,High,95,0.21,0.74,,,,,,,,,,,,,,,,,
best way to clean a rug at home,USD,500,0%,900%,High,99,0.51,4.49,,,,,,,,,,,,,,,,,
carpet cleaner on mattress,USD,500,0%,0%,High,95,0.63,6.91,,,,,,,,,,,,,,,,,
vomit out of carpet,USD,500,0%,0%,Low,11,0.04,7.67,,,,,,,,,,,,,,,,,
huntington home carpet cleaner,USD,50,0%,0%,High,90,,,,,,,,,,,,,,,,,,,
carpet upholstery,USD,500,0%,0%,High,73,2.12,15,,,,,,,,,,,,,,,,,
bissell powerclean turbobrush pet,USD,500,0%,-90%,High,100,0.33,1.65,,,,,,,,,,,,,,,,,
commercial carpet cleaning services,USD,50000,0%,0%,Low,17,6.38,29.46,,,,,,,,,,,,,,,,,
proheat pet bissell,USD,500,0%,-90%,High,99,0.28,1.14,,,,,,,,,,,,,,,,,
bonnet carpet cleaning,USD,500,0%,0%,High,100,0.54,4,,,,,,,,,,,,,,,,,
a carpet,USD,500,0%,0%,Medium,50,5.01,13.85,,,,,,,,,,,,,,,,,
fresh carpet,USD,50,0%,0%,Medium,43,4.27,19.61,,,,,,,,,,,,,,,,,
rug doctor portable,USD,500,0%,0%,High,100,0.35,1.17,,,,,,,,,,,,,,,,,
county carpets,USD,50,0%,0%,Medium,55,5.02,22.56,,,,,,,,,,,,,,,,,
carpet odor,USD,500,0%,0%,High,93,0.48,3.75,,,,,,,,,,,,,,,,,
best way to clean vomit from carpet,USD,500,0%,0%,Low,24,0.15,4.01,,,,,,,,,,,,,,,,,
bissell crosswave on carpet,USD,500,0%,0%,High,96,0.56,5.45,,,,,,,,,,,,,,,,,
bonnet cleaning,USD,500,0%,0%,Medium,53,0.33,8.16,,,,,,,,,,,,,,,,,
cleaning vomit off carpet,USD,50,-90%,-90%,Low,16,0.81,6.74,,,,,,,,,,,,,,,,,
urine on carpet,USD,5000,0%,0%,Low,8,0.55,4.53,,,,,,,,,,,,,,,,,
pet urine,USD,500,0%,0%,High,94,0.55,5,,,,,,,,,,,,,,,,,
getting vomit out of carpet,USD,500,0%,0%,Low,16,0.12,4.65,,,,,,,,,,,,,,,,,
getting slime out of carpet,USD,500,0%,0%,Low,29,0.02,0.03,,,,,,,,,,,,,,,,,
matted carpet,USD,5000,0%,0%,Low,7,,,,,,,,,,,,,,,,,,,
turboclean,USD,5000,0%,0%,High,96,0.36,2.4,,,,,,,,,,,,,,,,,
slime out of carpet,USD,500,0%,0%,Low,29,0.02,0.03,,,,,,,,,,,,,,,,,
vomit on carpet,USD,500,0%,0%,Low,5,0.03,10,,,,,,,,,,,,,,,,,
inside out carpet cleaning,USD,50,∞,0%,Low,28,7.34,20,,,,,,,,,,,,,,,,,
removing slime from carpet,USD,500,0%,0%,Low,33,0.02,0.04,,,,,,,,,,,,,,,,,
bissell turboclean powerbrush pet carpet cleaner 2806,USD,50,0%,-90%,High,100,,,,,,,,,,,,,,,,,,,
bissell turboclean powerbrush pet carpet cleaner 2987,USD,500,0%,-90%,High,99,0.33,2.74,,,,,,,,,,,,,,,,,
bissell turboclean ™ dualpro pet carpet cleaner,USD,50,0%,0%,High,100,0.28,1.91,,,,,,,,,,,,,,,,,
clean r carpets,USD,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
hoover cleanslate pet carpet & upholstery spot deep cleaner,USD,50,-100%,0%,Unknown,,,,,,,,,,,,,,,,,,,,
hoover cleanslate portable carpet and upholstery pet spot cleaner fh14010,USD,50,0%,0%,High,70,,,,,,,,,,,,,,,,,,,
kingdom carpet cleaning,USD,50,0%,-90%,Low,6,,,,,,,,,,,,,,,,,,,
spotclean pro ™ portable carpet cleaner,USD,50,0%,0%,High,100,0.33,3.11,,,,,,,,,,,,,,,,,
